date,ticker,open,high,low,close,adj_close,volume
2022-01-03,AAPL,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683594,178.44314575195312,104487900
2022-01-04,AAPL,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,176.17840576171875,99310400
2022-01-05,AAPL,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,171.49209594726562,94537600
2022-01-06,AAPL,172.6999969482422,175.3000030517578,171.63999938964844,172.0,168.62930297851562,96904000
2022-01-07,AAPL,172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,168.7959442138672,86709100
2022-01-10,AAPL,169.0800018310547,172.5,168.1699981689453,172.19000244140625,168.81553649902344,106765600
2022-01-11,AAPL,172.32000732421875,175.17999267578125,170.82000732421875,175.0800018310547,171.64894104003906,76138300
2022-01-12,AAPL,176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,172.0901336669922,74805200
2022-01-13,AAPL,175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,168.81553649902344,84505800
2022-01-14,AAPL,171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,169.67831420898438,80440800
2022-01-18,AAPL,171.50999450683594,172.5399932861328,169.41000366210938,169.8000030517578,166.47242736816406,90956700
2022-01-19,AAPL,170.0,171.0800018310547,165.94000244140625,166.22999572753906,162.9723663330078,94815000
2022-01-20,AAPL,166.97999572753906,169.67999267578125,164.17999267578125,164.50999450683594,161.28607177734375,91420500
2022-01-21,AAPL,164.4199981689453,166.3300018310547,162.3000030517578,162.41000366210938,159.2272186279297,122848900
2022-01-24,AAPL,160.02000427246094,162.3000030517578,154.6999969482422,161.6199951171875,158.4527130126953,162294600
2022-01-25,AAPL,158.97999572753906,162.75999450683594,157.02000427246094,159.77999877929688,156.64878845214844,115798400
2022-01-26,AAPL,163.5,164.38999938964844,157.82000732421875,159.69000244140625,156.56053161621094,108275300
2022-01-27,AAPL,162.4499969482422,163.83999633789062,158.27999877929688,159.22000122070312,156.09974670410156,121954600
2022-01-28,AAPL,165.7100067138672,170.35000610351562,162.8000030517578,170.3300018310547,166.99203491210938,179935700
2022-01-31,AAPL,170.16000366210938,175.0,169.50999450683594,174.77999877929688,171.35482788085938,115541600
2022-02-01,AAPL,174.00999450683594,174.83999633789062,172.30999755859375,174.61000061035156,171.1881561279297,86213900
2022-02-02,AAPL,174.75,175.8800048828125,173.3300018310547,175.83999633789062,172.39404296875,84914300
2022-02-03,AAPL,174.47999572753906,176.24000549316406,172.1199951171875,172.89999389648438,169.51165771484375,89418100
2022-02-04,AAPL,171.67999267578125,174.10000610351562,170.67999267578125,172.38999938964844,169.22698974609375,82465400
2022-02-07,AAPL,172.86000061035156,173.9499969482422,170.9499969482422,171.66000366210938,168.51036071777344,77251200
2022-02-08,AAPL,171.72999572753906,175.35000610351562,171.42999267578125,174.8300018310547,171.62222290039062,74829200
2022-02-09,AAPL,176.0500030517578,176.64999389648438,174.89999389648438,176.27999877929688,173.04562377929688,71285000
2022-02-10,AAPL,174.13999938964844,175.47999572753906,171.5500030517578,172.1199951171875,168.96194458007812,90865900
2022-02-11,AAPL,172.3300018310547,173.0800018310547,168.0399932861328,168.63999938964844,165.54580688476562,98670700
2022-02-14,AAPL,167.3699951171875,169.5800018310547,166.55999755859375,168.8800048828125,165.78140258789062,86185500
2022-02-15,AAPL,170.97000122070312,172.9499969482422,170.25,172.7899932861328,169.61961364746094,62527400
2022-02-16,AAPL,171.85000610351562,173.33999633789062,170.0500030517578,172.5500030517578,169.38404846191406,61177400
2022-02-17,AAPL,171.02999877929688,171.91000366210938,168.47000122070312,168.8800048828125,165.78140258789062,69589300
2022-02-18,AAPL,169.82000732421875,170.5399932861328,166.19000244140625,167.3000030517578,164.23040771484375,82772700
2022-02-22,AAPL,164.97999572753906,166.69000244140625,162.14999389648438,164.32000732421875,161.30506896972656,91162800
2022-02-23,AAPL,165.5399932861328,166.14999389648438,159.75,160.07000732421875,157.133056640625,90009200
2022-02-24,AAPL,152.5800018310547,162.85000610351562,152.0,162.74000549316406,159.75404357910156,141147500
2022-02-25,AAPL,163.83999633789062,165.1199951171875,160.8699951171875,164.85000610351562,161.82537841796875,91974200
2022-02-28,AAPL,163.05999755859375,165.4199981689453,162.42999267578125,165.1199951171875,162.0903778076172,95056600
